citylat,citylon,focal,idiss,linkData,link_big,link_small,n_answers
21.2,-97.9,50,41300,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS035&roll=E&frame=41300,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS035/ISS035-E-41300.JPG,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS035/ISS035-E-41300.JPG,30
-27.7,-169.9,50,36704,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS020&roll=E&frame=36704,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS020/ISS020-E-36704.JPG,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS020/ISS020-E-36704.JPG,30
51.8,7.7,50,83421,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS030&roll=E&frame=83421,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-83421.JPG,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS030/ISS030-E-83421.JPG,30
49.3,-133.9,50,11896,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS038&roll=E&frame=11896,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS038/ISS038-E-11896.JPG,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS038/ISS038-E-11896.JPG,30
47.1,-6,50,83216,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS030&roll=E&frame=83216,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-83216.JPG,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS030/ISS030-E-83216.JPG,30
44.8,88.5,50,25085,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS021&roll=E&frame=25085,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS021/ISS021-E-25085.JPG,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS021/ISS021-E-25085.JPG,30
49.4,-122.1,50,13095,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS035&roll=E&frame=13095,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS035/ISS035-E-13095.JPG,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS035/ISS035-E-13095.JPG,30
-40.2,139.2,50,9195,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS035&roll=E&frame=9195,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS035/ISS035-E-9195.JPG,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS035/ISS035-E-9195.JPG,30
20.4,-105.1,50,50028,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS034&roll=E&frame=50028,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS034/ISS034-E-50028.JPG,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS034/ISS034-E-50028.JPG,30
46,10,50,5890,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS034&roll=E&frame=5890,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS034/ISS034-E-5890.JPG,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS034/ISS034-E-5890.JPG,30
17.5,108.8,50,20411,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS036&roll=E&frame=20411,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS036/ISS036-E-20411.JPG,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS036/ISS036-E-20411.JPG,30
-41.7,-80.1,50,17758,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS036&roll=E&frame=17758,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS036/ISS036-E-17758.JPG,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS036/ISS036-E-17758.JPG,30
51.5,-120.9,50,77338,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS030&roll=E&frame=77338,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-77338.JPG,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS030/ISS030-E-77338.JPG,30
23.3,-159.4,50,82649,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS030&roll=E&frame=82649,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-82649.JPG,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS030/ISS030-E-82649.JPG,30
11.1,138.6,50,9293,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS024&roll=E&frame=9293,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS024/ISS024-E-9293.JPG,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS024/ISS024-E-9293.JPG,30
27.4,-99.3,50,83095,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS030&roll=E&frame=83095,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-83095.JPG,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS030/ISS030-E-83095.JPG,30
46.1,-93.3,50,14187,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS035&roll=E&frame=14187,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS035/ISS035-E-14187.JPG,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS035/ISS035-E-14187.JPG,30
19.6,-90.3,50,77258,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS030&roll=E&frame=77258,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-77258.JPG,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS030/ISS030-E-77258.JPG,30
40.8,29.7,50,16953,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS035&roll=E&frame=16953,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS035/ISS035-E-16953.JPG,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS035/ISS035-E-16953.JPG,30
44.4,128.2,50,66670,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS030&roll=E&frame=66670,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-66670.JPG,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS030/ISS030-E-66670.JPG,30
34.1,37.7,50,9942,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS035&roll=E&frame=9942,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS035/ISS035-E-9942.JPG,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS035/ISS035-E-9942.JPG,30
38.3,99.8,50,29054,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS029&roll=E&frame=29054,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS029/ISS029-E-29054.JPG,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS029/ISS029-E-29054.JPG,30
