City,ISS-ID,lat,lon,latcity,loncity,nlat,nlon,MODEL,date,hour,alt,sunazt,sunelv,shu,ap,ISO,Coments,NASA,CoordFLAG,URL,small,large,Thumbnail
CAIRO,ISS026-E-11010,30.0,31.3,0.0,0.0,33.1,30.0,NIKON D3S S/N: 2007934,20101218,024633,188.0,102.0,-27.0,1/15,2.8,12800,0.0,1.0,0.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS026&roll=E&frame=11010,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS026/ISS026-E-11010.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS026/ISS026-E-11010.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS026/ISS026-E-11010.jpg
CAIRO,ISS026-E-11016,30.0,31.3,0.0,0.0,32.4,30.8,NIKON D3S S/N: 2007934,20101218,024648,188.0,103.0,-26.0,1/15,2.8,12800,0.0,1.0,0.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS026&roll=E&frame=11016,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS026/ISS026-E-11016.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS026/ISS026-E-11016.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS026/ISS026-E-11016.jpg
PARIS,ISS026-E-28794,48.8,2.4,0.0,0.0,48.4,2.6,NIKON D3S S/N: 2007934,20110222,231643,187.0,342.0,-51.0,1/15,2.8,12800,0.0,1.0,0.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS026&roll=E&frame=28794,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS026/ISS026-E-28794.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS026/ISS026-E-28794.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS026/ISS026-E-28794.jpg
ZLITAN,ISS026-E-16847,32.5,14.5,0.0,0.0,32.6,16.0,NIKON D3S S/N: 2007934,20110110,180740,186.0,259.0,-25.0,1/15,9.0,12800,0.0,1.0,0.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS026&roll=E&frame=16847,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS026/ISS026-E-16847.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS026/ISS026-E-16847.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS026/ISS026-E-16847.jpg
NEW,ISS026-E-10875,40.8,-74.0,0.0,0.0,40.0,-72.6,NIKON D3S S/N: 2007934,20101218,022554,184.0,288.0,-56.0,1/15,2.8,12800,0.0,1.0,0.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS026&roll=E&frame=10875,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS026/ISS026-E-10875.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS026/ISS026-E-10875.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS026/ISS026-E-10875.jpg
DURBAN,ISS026-E-17215,-29.8,31.0,0.0,0.0,-28.7,31.0,NIKON D3S S/N: 2007934,20110111,202342,191.0,208.0,-34.0,1/15,2.8,12800,0.0,1.0,0.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS026&roll=E&frame=17215,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS026/ISS026-E-17215.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS026/ISS026-E-17215.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS026/ISS026-E-17215.jpg
PORTO,ISS030-E-67806,41.1,-8.6,0.0,0.0,43.1,-5.9,NIKON D3S S/N: 2007934,20120207,220540,203.0,299.0,-47.0,1/100,2.8,12800,0.0,1.0,0.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS030&roll=E&frame=67806,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS030/ISS030-E-67806.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-67806.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS030/ISS030-E-67806.jpg
BARI,ISS026-E-26971,41.1,16.9,0.0,0.0,41.1,18.7,NIKON D3S S/N: 2007934,20110213,205736,188.0,307.0,-52.0,1/15,4.0,12800,0.0,1.0,0.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS026&roll=E&frame=26971,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS026/ISS026-E-26971.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS026/ISS026-E-26971.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS026/ISS026-E-26971.jpg
BORDEAUX,ISS026-E-26499,44.8,-0.6,0.0,0.0,44.5,3.8,NIKON D3S S/N: 2007934,20110211,231300,187.0,339.0,-58.0,1/15,4.0,12800,0.0,1.0,0.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS026&roll=E&frame=26499,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS026/ISS026-E-26499.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS026/ISS026-E-26499.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS026/ISS026-E-26499.jpg
RABAT,ISS026-E-15817,34.0,-6.8,0.0,0.0,33.6,-6.1,NIKON D3S S/N: 2007934,20110106,210525,186.0,270.0,-44.0,1/15,9.0,12800,0.0,1.0,0.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS026&roll=E&frame=15817,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS026/ISS026-E-15817.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS026/ISS026-E-15817.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS026/ISS026-E-15817.jpg
